season,week,date,firstDownDiff,netPassYdsDiff,totalYdsDiff,turnoverDiff,totalPlaysDiff,rushAttDiff,rushYdsDiff,rushTDDiff,passCompDiff,passAttDiff,passYdsDiff,passTDDiff,passIntDiff,timesSackedDiff,sackYdsLostDiff,fumDiff,fumLostDiff,numPenDiff,penYdsDiff,thirdConvDiff,thirdAttDiff,thirdPercDiff,fourthConvDiff,fourthAttDiff,fourthPercDiff,topDiff,eloDiff,winner
2002,13,2002-12-01,3,29,24,3,1,-10,-5,0,4,8,41,-1,1,3,12,1,2,-1,-15,-1,-2,-0.028571428571428525,-1,-1,NA,-4.760000000000002,171.25599999999986,Away
2002,2,2002-09-15,-13,-11,-92,-3,-25,-4,-81,0,-9,-17,-41,1,-3,-4,-30,-2,0,9,57,-2,-4,-0.0444444444444444,0,-1,0,-2.6000000000000014,62.980999999999995,Home
2002,7,2002-10-20,-3,-124,-124,-2,-11,2,0,2,-2,-6,-158,-1,0,-7,-34,-3,-2,-2,-12,-2,-1,-0.2142857142857143,1,1,NA,0.6599999999999966,165.59699999999998,Home
2002,15,2002-12-15,-2,-21,-68,-2,-1,-5,-47,-1,1,1,10,0,-1,3,31,0,-1,2,-5,1,1,0.0892857142857143,0,1,-0.33333333333333337,1.7000000000000028,-57.1880000000001,Away
2002,1,2002-09-08,0,76,-59,0,2,-10,-135,-4,8,11,83,3,-1,1,7,1,1,-5,-49,-4,-5,-0.5,0,0,NA,-0.5399999999999991,-28.857999999999947,Away
2002,9,2002-11-03,-16,-98,-198,2,-43,-25,-100,0,-10,-20,-84,0,1,2,14,-1,1,8,64,-6,-6,-0.6,0,-2,0.6666666666666667,-24.340000000000003,-145.13300000000004,Away
2002,6,2002-10-13,3,-24,3,2,1,-10,27,0,-1,5,27,1,1,6,51,2,1,-5,-35,1,0,0.14285714285714285,2,3,NA,-7.200000000000003,1.7730000000001382,Home
2002,12,2002-11-24,2,93,79,0,-10,5,-14,0,-6,-16,99,1,1,1,6,0,-1,-1,-4,-3,-5,-0.3333333333333333,-2,-2,NA,4.260000000000002,-114.98100000000022,Home
2002,5,2002-10-06,4,33,24,-2,12,-4,-9,1,5,15,34,-2,-1,1,1,-4,-1,-1,-11,1,3,-0.05555555555555558,0,2,NA,2.3400000000000034,-44.18299999999999,Away
2002,16,2002-12-21,-8,-167,-213,1,-16,-13,-46,-1,-4,-9,-125,-1,-1,6,42,6,2,-3,2,-6,-5,-0.6,0,1,NA,-3.4399999999999977,-301.597,Away
2002,8,2002-10-27,-1,-38,-30,-1,-12,-6,8,-1,-7,-7,-32,1,-2,1,6,2,1,-1,-2,-4,-4,-0.35555555555555557,0,1,NA,-4.159999999999997,-8.105999999999995,Away
2002,14,2002-12-08,-16,-129,-144,1,-30,-2,-15,1,-25,-27,-129,-3,2,-1,0,-1,-1,-5,-34,1,2,0.04999999999999999,-1,-1,NA,-11.959999999999997,-158.29899999999998,Away
2002,2,2002-09-15,-5,-5,-36,-1,-21,0,-31,0,-9,-19,-19,1,-1,-2,-14,-1,0,-4,-40,-3,-3,-0.22499999999999998,-1,-2,NA,-11.5,-134.11599999999999,Home
2002,13,2002-11-28,3,-115,13,-4,2,11,128,0,-9,-12,-98,-1,-4,3,17,1,0,0,-8,1,4,0.14285714285714285,-1,-2,NA,5.939999999999998,-101.28800000000001,Home
2002,17,2002-12-29,6,68,243,-2,3,13,175,2,0,-9,50,1,-1,-1,-18,2,-1,2,17,-1,0,-0.16666666666666669,2,2,NA,6.900000000000002,176.64599999999996,Home
2002,3,2002-09-22,5,-73,51,-1,8,18,124,0,-8,-10,-72,0,0,0,1,0,-1,-1,-18,-2,-1,-0.23214285714285715,1,2,NA,5.560000000000002,136.00600000000009,Home
2002,12,2002-11-24,-11,-44,-59,-1,-37,-17,-15,0,-12,-20,-44,1,1,0,0,-4,-2,5,27,-4,-4,-0.1777777777777778,-1,0,-1,-21.87,45.98500000000013,Away
2002,15,2002-12-15,2,-24,-12,3,-6,9,12,2,0,-16,-13,-1,1,1,11,1,2,-7,-68,-1,-5,0.07954545454545453,0,0,0,1,-17.016000000000076,Home
2002,5,2002-10-06,4,65,103,-2,8,13,38,0,0,-7,81,1,-1,2,16,-2,-1,1,9,1,0,0.16666666666666663,1,1,NA,7.560000000000002,24.40000000000009,Home
2002,1,2002-09-08,3,-108,-36,0,0,13,72,-1,-14,-14,-113,2,1,1,-5,-1,-1,-3,-13,-1,-1,-0.11904761904761904,1,0,1,-3.539999999999999,-153.7840000000001,Home
2002,6,2002-10-13,11,98,151,1,22,3,53,-2,8,17,125,1,1,2,27,1,0,1,28,1,3,-0.07142857142857145,0,0,NA,8.159999999999997,-21.44600000000014,Away
2002,10,2002-11-11,7,-82,-32,1,20,8,50,1,0,9,-59,-3,1,3,23,1,0,-2,-20,-2,-2,-0.16666666666666663,1,2,NA,3.3599999999999994,51.34699999999998,Away
2002,7,2002-10-20,6,35,138,-2,11,8,103,1,0,4,36,-1,-1,-1,1,0,-1,5,39,-2,0,-0.33333333333333337,1,1,NA,5.900000000000002,-139.97000000000003,Home
2002,9,2002-11-03,-9,-54,-73,0,-14,-4,-19,-1,-8,-6,-104,0,2,-4,-50,-3,-2,-1,-20,0,1,-0.01785714285714285,0,0,0,-9.099999999999998,-34.802000000000135,Home
2002,3,2002-09-22,-8,-171,-171,2,-22,-10,0,1,-16,-12,-175,-1,3,0,-4,-2,-1,-8,-64,-3,-2,-0.25,0,0,NA,-17.799999999999997,-204.58100000000013,Away
2002,17,2002-12-29,-4,-3,-64,1,-2,-14,-61,-2,-2,15,-19,1,2,-3,-16,-2,-1,-1,-19,0,3,-0.32142857142857145,0,1,-0.5,-9.040000000000003,-118.21800000000007,Away
2002,13,2002-11-28,-9,0,-57,2,-9,-23,-57,-1,4,14,0,0,2,0,0,0,0,-1,5,0,0,0,0,0,NA,-10,-246.35899999999992,Away
2002,4,2002-09-29,-8,20,-5,-3,-2,14,-25,-1,-7,-13,-2,-1,-2,-3,-22,0,-1,-1,6,-3,-2,-0.30158730158730157,1,2,NA,7.239999999999998,-191.17799999999988,Home
2002,11,2002-11-17,-13,-48,-129,0,-16,-19,-81,0,-6,4,-58,-2,0,-1,-10,0,0,1,2,0,4,-0.375,0,2,NA,-17.459999999999997,-144.53999999999996,Away
2002,15,2002-12-15,-7,-105,-84,1,-20,-2,21,-1,-14,-19,-95,1,1,1,10,0,0,-3,-31,-2,-3,-0.0714285714285714,0,0,NA,-14.200000000000003,-336.25700000000006,Away
2002,1,2002-09-08,7,79,110,0,19,8,31,-1,10,13,75,1,0,-2,-4,1,0,-1,-67,5,6,0.25,1,1,NA,7.909999999999997,169.46499999999992,Home
2002,18,2003-01-04,-4,116,-20,5,-6,-25,-136,-1,7,17,130,0,2,2,14,2,3,0,-5,-1,0,-0.125,0,3,NA,-12.14,114.05400000000009,Away
2002,16,2002-12-22,-3,-38,38,-4,-1,6,76,0,-3,-3,-65,1,0,-4,-27,-4,-4,1,15,3,5,0.2,0,1,NA,-3.740000000000002,168.96900000000005,Home
2002,4,2002-09-29,-1,6,-34,-2,-4,-13,-40,-2,9,9,29,2,1,0,23,-1,-3,3,6,0,0,0,0,0,NA,-3.240000000000002,136.05700000000002,Home
2002,13,2002-12-01,7,-15,92,-2,17,15,107,1,-3,4,-27,-1,0,-2,-12,-3,-2,-3,-6,3,3,0.15584415584415584,-2,-1,-1,5.260000000000002,185.78700000000003,Home
2002,10,2002-11-10,11,117,141,0,17,17,24,1,9,-2,127,0,-2,2,10,3,2,7,43,6,6,0.5454545454545454,-1,-4,NA,18.76,296.16899999999987,Home
2002,9,2002-11-04,-9,3,-36,-3,-24,-7,-39,0,-5,-15,-10,1,-1,-2,-13,-3,-2,3,16,2,0,0.39999999999999997,-1,-2,NA,-2.3599999999999994,106.46900000000005,Home
2002,14,2002-12-08,5,79,12,1,5,3,-67,0,7,4,78,1,0,-2,-1,-1,1,-2,-37,5,2,0.38333333333333336,0,-1,NA,1.1400000000000006,224.94899999999984,Home
